METEOROLOGICAL DATA					DATA TYPE
HUMIDITY SENSOR
Galltech (manufacturer)
FK80J (model)
A310340000 (S/N)
SET OF FIVE THERMOELEMENTS
Uteco (Manufac.)
CB 1XK 0.22/6000 PVC JJ2X0.22 (model)

Hellenic Institute of Metrology
Sensor located in the Time & Frequency Laboratory
							END OF HEADER
 08 10 18 05 01 44	22.97	24.19	PRE?
 08 10 18 05 02 44	22.96	24.17	PRE?
 08 10 18 05 03 44	22.95	24.20	PRE?
 08 10 18 05 04 44	22.98	24.19	PRE?
 08 10 18 05 05 44	22.97	24.19	PRE?
 08 10 18 05 06 44	22.96	24.19	PRE?
 08 10 18 05 07 44	22.97	24.18	PRE?
 08 10 18 05 08 44	22.99	24.18	PRE?
 08 10 18 05 09 44	22.98	24.21	PRE?
 08 10 18 05 10 44	22.96	24.19	PRE?
 08 10 18 05 11 44	22.98	24.17	PRE?
 08 10 18 05 12 44	22.98	24.21	PRE?
 08 10 18 05 13 44	22.99	24.18	PRE?
 08 10 18 05 14 44	23.01	24.20	PRE?
 08 10 18 05 15 44	22.99	24.22	PRE?
 08 10 18 05 16 44	22.97	24.23	PRE?
 08 10 18 05 17 44	23.00	24.18	PRE?
 08 10 18 05 18 44	23.01	24.19	PRE?
 08 10 18 05 19 44	23.02	24.17	PRE?
 08 10 18 05 20 44	23.02	24.23	PRE?
 08 10 18 05 21 44	22.97	24.19	PRE?
 08 10 18 05 22 44	22.97	24.17	PRE?
 08 10 18 05 23 44	22.99	24.20	PRE?
 08 10 18 05 24 44	22.99	24.20	PRE?
 08 10 18 05 25 44	22.97	24.19	PRE?
 08 10 18 05 26 44	22.96	24.20	PRE?
 08 10 18 05 27 44	22.97	24.18	PRE?
 08 10 18 05 28 44	22.97	24.18	PRE?
 08 10 18 05 29 44	22.99	24.19	PRE?
 08 10 18 05 30 44	22.99	24.20	PRE?
 08 10 18 05 31 44	22.97	24.18	PRE?
 08 10 18 05 32 44	22.96	24.18	PRE?
 08 10 18 05 33 44	22.96	24.17	PRE?
 08 10 18 05 34 44	22.95	24.18	PRE?
 08 10 18 05 35 44	22.96	24.14	PRE?
 08 10 18 05 36 44	22.98	24.22	PRE?
 08 10 18 05 37 44	22.98	24.17	PRE?
